,Word,V_normalization,A_normalization
0,不可思議,0.10000000000000009,0.7820512820512819
1,不平,0.35,0.6025641025641024
2,不甘,0.44999999999999996,0.6794871794871795
3,不安,0.30000000000000004,0.5512820512820513
4,不利,0.35,0.5769230769230769
5,不足,0.19999999999999996,0.3974358974358974
6,不定,0.19999999999999996,0.3461538461538461
7,不宜,0.30000000000000004,0.4230769230769231
8,不幸,0.6,0.6282051282051282
9,不拘小節,0.3500000000000001,0.3974358974358974
10,不服,0.4,0.7051282051282051
11,不知所措,0.44999999999999996,0.6538461538461537
12,不便,0.25,0.4230769230769231
13,不耐,0.25,0.4230769230769231
14,不耐煩,0.35,0.6282051282051282
15,不准,0.35,0.6538461538461537
16,不屑,0.5,0.6282051282051282
17,不悅,0.44999999999999996,0.6282051282051282
18,不爽,0.55,0.7820512820512819
19,不祥,0.55,0.5256410256410255
20,不符,0.30000000000000004,0.37179487179487175
21,不順,0.35,0.4487179487179486
22,不當,0.4,0.5769230769230769
23,不解,0.19999999999999996,0.3974358974358974
24,不滿,0.44999999999999996,0.6794871794871795
25,不適,0.35,0.4487179487179486
26,正,0.3999999999999999,0.49999999999999994
27,多餘,0.25,0.37179487179487175
28,好,0.44999999999999996,0.5256410256410255
29,否定,0.4,0.5512820512820513
30,否認,0.35,0.5256410256410255
31,足夠,0.19999999999999996,0.37179487179487175
32,肯定,0.44999999999999996,0.6282051282051282
33,哇,0.25,0.7051282051282051
34,哎呀,0.050000000000000044,0.7307692307692306
35,恰好,0.3500000000000001,0.49999999999999994
36,耶,0.55,0.7820512820512819
37,單獨,0.1499999999999999,0.3205128205128205
38,無力,0.44999999999999996,0.3205128205128205
39,無足輕重,0.1499999999999999,0.37179487179487175
40,無情,0.6,0.6025641025641024
41,無理,0.6,0.7307692307692306
42,無暇,0.35,0.5769230769230769
43,無趣,0.4,0.5256410256410255
44,無禮,0.55,0.7564102564102564
45,想,0.050000000000000044,0.3205128205128205
46,過分,0.55,0.7307692307692306
47,對,0.3500000000000001,0.4743589743589743
48,認真,0.5,0.49999999999999994
49,嘻,0.3999999999999999,0.6025641025641024
50,嘻嘻,0.5,0.6538461538461537
51,隨便,0.19999999999999996,0.5256410256410255
52,隨意,0.1499999999999999,0.3974358974358974
53,豐富,0.44999999999999996,0.5769230769230769
54,願意,0.44999999999999996,0.49999999999999994
55,小心,0.10000000000000009,0.6282051282051282
56,分享,0.44999999999999996,0.4487179487179486
57,支持,0.55,0.49999999999999994
58,支撐,0.1499999999999999,0.5769230769230769
59,付出,0.19999999999999996,0.5769230769230769
60,失去,0.44999999999999996,0.6794871794871795
61,失敗,0.7,0.7820512820512819
62,打,0.44999999999999996,0.7051282051282051
63,同意,0.3500000000000001,0.4230769230769231
64,成功,0.7999999999999998,0.7051282051282051
65,死,0.95,0.49999999999999994
66,吸引,0.25,0.6538461538461537
67,希望,0.5,0.5256410256410255
68,忘記,0.25,0.4487179487179486
69,協助,0.3999999999999999,0.4487179487179486
70,抱,0.19999999999999996,0.5256410256410255
71,玩,0.1499999999999999,0.6025641025641024
72,信任,0.7,0.6025641025641024
73,相信,0.55,0.5512820512820513
74,討厭,0.6,0.7051282051282051
75,貢獻,0.6000000000000001,0.5769230769230769
76,逃避,0.5,0.6282051282051282
77,喜愛,0.55,0.6538461538461537
78,喜歡,0.5,0.6025641025641024
79,喪失,0.6,0.6025641025641024
80,期望,0.25,0.5256410256410255
81,答應,0.19999999999999996,0.49999999999999994
82,幹,1.0,0.9871794871794872
83,愛,0.7999999999999998,0.5512820512820513
84,愛好,0.5,0.5769230769230769
